team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Villarreal CF,Villarreal,2024/2025,Spain,18,9,9,0,8,3,5,6,4,2,4,2,2,1.67,1.44,1.89,5,13,3,5,34,30,4,64,35,29,18,16,17,13,1,3,48,45,51,54,48,63,1,1,0,15,8,7,2,0,2,8,5,3,83,44,39,57,29,28,49,48,50,222,111,111,105,52,53,117,59,58,218,113,105,16,9,7,17,8,9,-1,1,-2,6,4,2,6,2,4,6,3,3,1.33,1.56,1.11,3.56,3.89,3.22,1.89,2,1.78,1.67,1.89,1.44,1.83,1.89,1.78,0.89,1,0.78,0.94,0.89,1,18,18,13,7,3,3,9,9,7,5,2,2,9,9,6,2,1,1,0,0,5,11,15,15,0,0,2,4,7,7,0,0,3,7,8,8,100,100,72,39,17,17,100,100,78,56,22,22,100,100,67,22,11,11,0,0,28,61,83,83,0,0,22,44,78,78,0,0,33,78,89,89,18,9,4,9,4,3,9,5,1,100,50,22,100,44,33,100,56,11,44,33,56,-4,6,11,0,83,89,78,11,0,22,44,56,33,6,4,2,33,44,22,4,1,3,22,11,33,8,4,4,44,44,44,33,44,22,33,22,44,33,33,33,4.61,4.89,4.33,3.17,3.22,3.11,67,61,56,44,22,17,17,11,1.51,1.52,1.50,1.35,1.46,1.24,56,1,2,4,3,7,2,4,0,11,2,6,2,4,5,3,2,3,3,33,44,22,22,22,22,6
FC Barcelona,FC Barcelona,2024/2025,Spain,19,8,11,0,12,5,7,2,0,2,5,3,2,2,1.88,2.09,3,9,1,3,51,22,29,73,28,45,20,31,8,14,12,17,34,36,32,78,90,71,4,2,2,13,5,8,2,1,1,13,6,7,115,62,53,35,6,29,67,71,64,255,118,137,145,65,80,110,53,57,173,63,110,23,12,11,9,2,7,14,10,4,10,5,5,5,2,3,4,1,3,1.84,2.13,1.64,3.84,3.5,4.09,2.68,2.5,2.82,1.16,1,1.27,1.68,1.75,1.64,1.21,1.5,1,0.47,0.25,0.64,19,16,16,10,6,5,8,6,6,3,2,2,11,10,10,7,4,3,0,3,3,9,13,14,0,2,2,5,6,6,0,1,1,4,7,8,100,84,84,53,32,26,100,75,75,38,25,25,100,91,91,64,36,27,0,16,16,47,68,74,0,25,25,62,75,75,0,9,9,36,64,73,17,10,5,7,4,3,10,6,2,89,53,26,88,50,38,91,55,18,63,63,64,4,21,25,18,68,63,73,11,13,9,68,75,64,11,6,5,58,75,45,6,2,4,32,25,36,4,1,3,21,13,27,53,63,45,26,25,27,21,13,27,6.05,7.75,4.82,1.84,0.75,2.64,95,79,79,79,57,42,32,16,1.80,2.02,1.64,1.06,0.79,1.26,137,1,6,8,6,4,6,4,6,10,2,1,1,2,4,1,3,2,6,11,0,18,26,38,18,0
Real Madrid CF,Real Madrid,2024/2025,Spain,18,9,9,0,12,8,4,4,0,4,2,1,1,2.22,2.67,1.78,2,1,4,2,41,18,23,59,33,26,24,17,9,9,15,8,39,34,48,90,90,90,8,5,3,9,3,6,1,1,0,13,7,6,97,59,38,31,16,15,61,62,59,214,115,99,132,70,62,82,45,37,163,76,87,16,10,6,4,1,3,12,9,3,9,5,4,8,4,4,1,0,1,1.94,2.11,1.78,3.28,3.67,2.89,2.28,2.67,1.89,1,1,1,1.11,1.22,1,0.89,1.11,0.67,0.22,0.11,0.33,18,18,11,6,4,2,9,9,6,5,3,1,9,9,5,1,1,1,0,0,7,12,14,16,0,0,3,4,6,8,0,0,4,8,8,8,100,100,61,33,22,11,100,100,67,56,33,11,100,100,56,11,11,11,0,0,39,67,78,89,0,0,33,44,67,89,0,0,44,89,89,89,11,5,2,5,4,1,6,1,1,61,28,11,56,44,11,67,11,11,67,89,44,0,44,56,33,50,33,67,6,11,0,72,78,67,15,8,7,83,89,78,8,4,4,44,44,44,2,1,1,11,11,11,50,56,44,44,44,44,6,0,11,5.39,6.56,4.22,1.72,1.78,1.67,94,78,56,50,33,33,22,11,1.68,1.80,1.57,1.09,1.01,1.17,106,2,4,1,6,5,5,8,6,4,2,0,0,2,0,6,1,2,5,22,0,44,11,11,11,6
Sevilla FC,Sevilla FC,2024/2025,Spain,18,9,9,0,6,5,1,4,1,3,8,3,5,1.22,1.78,0.67,14,8,14,14,20,27,-7,47,16,31,8,12,8,19,0,-7,81,101,68,60,101,43,6,4,2,9,3,6,4,2,2,7,5,2,94,48,46,54,32,22,53,55,52,176,95,81,85,45,40,91,50,41,216,113,103,10,4,6,13,3,10,-3,1,-4,5,3,2,7,4,3,6,2,4,1.22,1.44,1,2.61,1.78,3.44,1.11,0.89,1.33,1.5,0.89,2.11,1.28,0.78,1.78,0.56,0.44,0.67,0.72,0.33,1.11,17,12,7,4,3,3,9,5,2,0,0,0,8,7,5,4,3,3,1,6,11,14,15,15,0,4,7,9,9,9,1,2,4,5,6,6,94,67,39,22,17,17,100,56,22,0,0,0,89,78,56,44,33,33,6,33,61,78,83,83,0,44,78,100,100,100,11,22,44,56,67,67,13,6,3,6,1,0,7,5,3,72,33,17,67,11,0,78,56,33,33,56,11,11,33,44,22,50,33,67,22,22,22,39,56,22,9,6,3,50,67,33,10,5,5,56,56,56,4,1,3,22,11,33,28,33,22,39,44,33,33,22,44,5.22,5.33,5.11,3,3.56,2.44,83,72,61,50,39,28,17,17,1.25,1.34,1.15,1.32,1.07,1.56,44,0,2,3,2,4,1,2,1,5,3,2,2,4,2,3,3,3,5,22,11,33,44,33,56,6
Club Atlético de Madrid,Atlético Madrid,2024/2025,Spain,18,9,9,0,12,7,5,5,2,3,1,0,1,2.28,2.56,2,1,2,2,1,33,12,21,45,25,20,19,14,6,6,13,8,49,43,58,134,134,134,9,5,4,8,4,4,2,1,1,10,5,5,90,57,33,41,23,18,52,57,47,179,112,67,103,62,41,76,50,26,199,107,92,10,4,6,9,4,5,1,0,1,5,3,2,7,3,4,6,3,3,1.22,1.33,1.11,2.5,2.78,2.22,1.83,2.11,1.56,0.67,0.67,0.67,1.06,0.89,1.22,0.56,0.44,0.67,0.5,0.44,0.56,17,12,8,4,2,1,8,7,5,2,1,1,9,5,3,2,1,0,1,6,10,14,16,17,1,2,4,7,8,8,0,4,6,7,8,9,94,67,44,22,11,6,89,78,56,22,11,11,100,56,33,22,11,0,6,33,56,78,89,94,11,22,44,78,89,89,0,44,67,78,89,100,12,3,3,6,1,1,6,2,2,67,17,17,67,11,11,67,22,22,67,78,56,0,50,56,44,44,44,44,11,11,11,56,56,56,11,6,5,61,67,56,11,5,6,61,56,67,2,1,1,11,11,11,28,33,22,39,33,44,33,33,33,5.00,6.33,3.67,2.28,2.56,2.00,72,67,56,50,22,17,11,6,1.39,1.72,1.06,1.17,0.81,1.53,44,2,1,1,5,3,3,4,2,12,2,2,1,4,0,1,1,0,1,28,22,33,6,0,11,0
UD Las Palmas,UD Las Palmas,2024/2025,Spain,18,9,9,0,6,3,3,4,3,1,8,3,5,1.22,1.33,1.11,13,15,9,13,23,27,-4,50,24,26,12,11,12,15,0,-4,70,68,74,60,68,54,3,2,1,12,6,6,4,1,3,7,5,2,72,41,31,52,26,26,53,55,50,170,97,73,90,45,45,80,52,28,219,116,103,8,5,3,11,6,5,-3,-1,-2,3,2,1,10,5,5,5,2,3,1.06,1.22,0.89,2.78,2.67,2.89,1.28,1.33,1.22,1.5,1.33,1.67,1.06,1.22,0.89,0.44,0.56,0.33,0.61,0.67,0.56,17,14,10,6,3,0,9,6,4,3,2,0,8,8,6,3,1,0,1,4,8,12,15,18,0,3,5,6,7,9,1,1,3,6,8,9,94,78,56,33,17,0,100,67,44,33,22,0,89,89,67,33,11,0,6,22,44,67,83,100,0,33,56,67,78,100,11,11,33,67,89,100,13,6,0,7,4,0,6,2,0,72,33,0,78,44,0,67,22,0,33,33,33,8,17,22,11,67,67,67,22,11,33,39,56,22,8,4,4,44,44,44,10,4,6,56,44,67,5,3,2,28,33,22,17,22,11,56,56,56,28,22,33,4.00,4.56,3.44,2.89,2.89,2.89,72,61,50,44,33,28,22,11,1.20,1.34,1.06,1.52,1.31,1.74,67,3,1,0,0,6,2,5,2,4,2,1,3,2,4,2,3,3,7,22,33,11,44,33,56,6
Deportivo Alavés,Deportivo Alavés,2024/2025,Spain,18,8,10,0,4,3,1,5,3,2,9,2,7,0.94,1.5,0.5,16,14,15,16,21,30,-9,51,18,33,9,12,9,21,0,-9,77,80,75,54,80,43,3,3,0,11,4,7,5,2,3,8,4,4,81,50,31,50,21,29,43,44,43,155,65,90,81,37,44,74,28,46,284,117,167,9,3,6,11,5,6,-2,-2,0,6,2,4,7,4,3,5,2,3,1.39,1.25,1.5,2.83,2.25,3.3,1.17,1.13,1.2,1.67,1.13,2.1,1.11,1,1.2,0.5,0.38,0.6,0.61,0.63,0.6,17,15,11,5,3,0,7,6,3,1,1,0,10,9,8,4,2,0,1,3,7,13,15,18,1,2,5,7,7,8,0,1,2,6,8,10,94,83,61,28,17,0,88,75,38,13,13,0,100,90,80,40,20,0,6,17,39,72,83,100,12,25,62,87,87,100,0,10,20,60,80,100,14,5,1,5,2,1,9,3,0,78,28,6,63,25,13,90,30,0,22,38,10,15,17,38,0,61,50,70,28,25,30,44,50,40,10,5,5,56,63,50,9,5,4,50,63,40,3,1,2,17,13,20,33,25,40,39,50,30,28,25,30,4.50,6.25,3.10,2.78,2.63,2.90,72,72,56,39,39,17,17,17,1.15,1.15,1.15,1.29,1.16,1.39,78,5,2,0,1,1,1,3,3,5,3,1,2,4,2,3,5,4,6,28,38,20,50,25,70,6
CD Leganés,Leganés,2024/2025,Spain,18,9,9,0,4,3,1,6,1,5,8,5,3,1,1.11,0.89,15,17,12,15,17,28,-11,45,23,22,8,9,15,13,-7,-4,96,101,90,58,54,63,5,3,2,8,2,6,7,5,2,9,4,5,50,21,29,43,20,23,42,45,38,125,71,54,62,30,32,63,41,22,241,117,124,7,2,5,8,5,3,-1,-3,2,3,0,3,11,6,5,4,3,1,1.11,0.67,1.56,2.5,2.56,2.44,0.94,0.89,1,1.56,1.67,1.44,0.83,0.78,0.89,0.39,0.22,0.56,0.44,0.56,0.33,16,13,7,3,2,2,8,6,5,1,1,1,8,7,2,2,1,1,2,5,11,15,16,16,1,3,4,8,8,8,1,2,7,7,8,8,89,72,39,17,11,11,89,67,56,11,11,11,89,78,22,22,11,11,11,28,61,83,89,89,11,33,44,89,89,89,11,22,78,78,89,89,9,2,2,4,1,1,5,1,1,50,11,11,44,11,11,56,11,11,22,33,11,-6,28,33,22,44,22,67,39,56,22,50,44,56,12,5,7,67,56,78,13,8,5,72,89,56,2,1,1,11,11,11,17,0,33,61,67,56,22,33,11,2.78,2.33,3.22,2.39,2.22,2.56,67,61,44,44,17,11,6,6,0.89,0.96,0.82,1.54,1.38,1.70,50,2,0,2,2,1,2,1,4,3,1,2,1,1,3,0,5,5,10,33,11,56,44,56,33,6
Real Club Celta de Vigo,Celta de Vigo,2024/2025,Spain,18,10,8,0,7,6,1,3,2,1,8,2,6,1.33,2,0.5,11,4,16,11,27,28,-1,55,26,29,17,10,9,19,8,-9,60,53,72,58,100,38,4,3,1,11,6,5,3,1,2,7,4,3,62,36,26,45,23,22,53,51,56,181,104,77,100,63,37,81,41,40,202,120,82,14,8,6,12,5,7,2,3,-1,7,5,2,4,1,3,7,4,3,1.39,1.6,1.13,3.06,2.6,3.63,1.5,1.7,1.25,1.56,0.9,2.38,1.44,1.3,1.63,0.78,0.8,0.75,0.67,0.5,0.88,18,14,11,8,2,1,10,8,5,3,0,0,8,6,6,5,2,1,0,4,7,10,16,17,0,2,5,7,10,10,0,2,2,3,6,7,100,78,61,44,11,6,100,80,50,30,0,0,100,75,75,63,25,13,0,22,39,56,89,94,0,20,50,70,100,100,0,25,25,37,75,87,15,7,4,9,3,1,6,4,3,83,39,22,90,30,10,75,50,38,39,60,13,28,22,30,13,61,60,63,17,10,25,39,40,38,8,5,3,44,50,38,8,5,3,44,50,38,5,1,4,28,10,50,39,50,25,22,10,38,39,40,38,3.44,3.60,3.25,2.5,2.3,2.75,61,50,33,22,22,6,6,0,1.34,1.41,1.26,1.23,1.03,1.48,72,1,2,6,4,1,2,1,1,9,1,4,2,4,2,3,5,2,5,17,20,13,44,20,75,0
Real Betis Balompié,Real Betis,2024/2025,Spain,18,9,9,0,6,4,2,7,4,3,5,1,4,1.39,1.78,1,9,7,11,9,21,22,-1,43,22,21,13,8,9,13,4,-5,77,63,101,74,90,63,4,3,1,11,6,5,4,0,4,10,7,3,86,53,33,41,18,23,51,53,49,214,131,83,104,62,42,110,69,41,212,102,110,9,5,4,7,3,4,2,2,0,5,3,2,11,5,6,2,1,1,1.44,1.56,1.33,2.39,2.44,2.33,1.17,1.44,0.89,1.22,1,1.44,0.89,0.89,0.89,0.5,0.56,0.44,0.39,0.33,0.44,17,14,7,3,1,1,9,7,4,2,0,0,8,7,3,1,1,1,1,4,11,15,17,17,0,2,5,7,9,9,1,2,6,8,8,8,94,78,39,17,6,6,100,78,44,22,0,0,89,78,33,11,11,11,6,22,61,83,94,94,0,22,56,78,100,100,11,22,67,89,89,89,11,5,0,6,2,0,5,3,0,61,28,0,67,22,0,56,33,0,33,44,22,21,22,33,11,61,67,56,22,0,44,56,78,33,12,6,6,67,67,67,9,4,5,50,44,56,4,2,2,22,22,22,28,33,22,61,56,67,11,11,11,4.78,5.89,3.67,2.28,2,2.56,72,72,61,56,33,28,6,0,1.49,1.78,1.20,1.19,1.02,1.36,44,4,1,0,3,2,1,3,3,4,3,2,0,2,2,5,2,2,4,39,44,33,28,11,44,0
